,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards
1113,Ole Miss,SEC,TD,{'seconds': 50},1,"{'minutes': 4, 'seconds': 40}",0,401012277,40101227710,Alabama,SEC,3,True,1,"{'minutes': 5, 'seconds': 30}",15,15
1114,Alabama,SEC,PUNT,"{'minutes': 3, 'seconds': 44}",1,{'seconds': 56},59,401012277,40101227711,Ole Miss,SEC,7,False,1,"{'minutes': 4, 'seconds': 40}",25,34
1115,Ole Miss,SEC,MISSED FG,"{'minutes': 5, 'seconds': 4}",2,"{'minutes': 10, 'seconds': 52}",20,401012277,40101227712,Alabama,SEC,10,False,1,{'seconds': 56},80,60
1116,Alabama,SEC,DOWNS,"{'minutes': 1, 'seconds': 50}",2,"{'minutes': 9, 'seconds': 2}",59,401012277,40101227713,Ole Miss,SEC,7,False,2,"{'minutes': 10, 'seconds': 52}",20,32
1117,Ole Miss,SEC,TD,"{'minutes': 1, 'seconds': 44}",2,"{'minutes': 7, 'seconds': 18}",0,401012277,40101227714,Alabama,SEC,4,True,2,"{'minutes': 9, 'seconds': 2}",52,52
1118,Alabama,SEC,PUNT,"{'minutes': 1, 'seconds': 48}",2,"{'minutes': 5, 'seconds': 30}",30,401012277,40101227715,Ole Miss,SEC,3,False,2,"{'minutes': 7, 'seconds': 18}",25,5
1119,Ole Miss,SEC,TD,{'seconds': 54},2,"{'minutes': 4, 'seconds': 36}",0,401012277,40101227716,Alabama,SEC,3,True,2,"{'minutes': 5, 'seconds': 30}",30,30
1120,Alabama,SEC,PUNT,"{'minutes': 1, 'seconds': 49}",2,"{'minutes': 2, 'seconds': 47}",10,401012277,40101227717,Ole Miss,SEC,3,False,2,"{'minutes': 4, 'seconds': 36}",11,-1
1121,Ole Miss,SEC,TD,"{'minutes': 1, 'seconds': 52}",2,{'seconds': 55},0,401012277,40101227718,Alabama,SEC,7,True,2,"{'minutes': 2, 'seconds': 47}",50,50
1122,Alabama,SEC,END OF HALF,{'seconds': 55},2,{},12,401012277,40101227719,Ole Miss,SEC,3,False,2,{'seconds': 55},3,9
1123,Ole Miss,SEC,FG,"{'minutes': 3, 'seconds': 11}",3,"{'minutes': 11, 'seconds': 49}",2,401012277,40101227720,Alabama,SEC,7,True,3,{'minutes': 15},23,21
1124,Alabama,SEC,PUNT,{'seconds': 52},3,"{'minutes': 10, 'seconds': 57}",30,401012277,40101227721,Ole Miss,SEC,3,False,3,"{'minutes': 11, 'seconds': 49}",25,5
1125,Ole Miss,SEC,INT,"{'minutes': 4, 'seconds': 3}",3,"{'minutes': 6, 'seconds': 54}",35,401012277,40101227722,Alabama,SEC,7,False,3,"{'minutes': 10, 'seconds': 57}",66,31
1126,Alabama,SEC,INT TD,"{'minutes': 1, 'seconds': 50}",3,"{'minutes': 5, 'seconds': 4}",24,401012277,40101227723,Ole Miss,SEC,4,True,3,"{'minutes': 6, 'seconds': 54}",4,20
1127,Alabama,SEC,PUNT,"{'minutes': 1, 'seconds': 32}",3,"{'minutes': 3, 'seconds': 32}",24,401012277,40101227724,Ole Miss,SEC,3,False,3,"{'minutes': 5, 'seconds': 4}",25,-1
1128,Ole Miss,SEC,FG,"{'minutes': 6, 'seconds': 16}",4,"{'minutes': 12, 'seconds': 16}",26,401012277,40101227725,Alabama,SEC,13,True,3,"{'minutes': 3, 'seconds': 32}",72,46
1129,Alabama,SEC,PUNT,"{'minutes': 1, 'seconds': 56}",4,"{'minutes': 10, 'seconds': 20}",34,401012277,40101227726,Ole Miss,SEC,3,False,4,"{'minutes': 12, 'seconds': 16}",25,9
1130,Ole Miss,SEC,PUNT,"{'minutes': 2, 'seconds': 35}",4,"{'minutes': 7, 'seconds': 45}",79,401012277,40101227727,Alabama,SEC,3,False,4,"{'minutes': 10, 'seconds': 20}",77,-2
1131,Alabama,SEC,PUNT,"{'minutes': 3, 'seconds': 36}",4,"{'minutes': 4, 'seconds': 9}",58,401012277,40101227728,Ole Miss,SEC,5,False,4,"{'minutes': 7, 'seconds': 45}",44,14
1132,Ole Miss,SEC,PUNT,"{'minutes': 2, 'seconds': 8}",4,"{'minutes': 2, 'seconds': 1}",79,401012277,40101227729,Alabama,SEC,3,False,4,"{'minutes': 4, 'seconds': 9}",80,1
1133,Alabama,SEC,END OF GAME,"{'minutes': 2, 'seconds': 1}",4,{},46,401012277,40101227730,Ole Miss,SEC,3,False,4,"{'minutes': 2, 'seconds': 1}",40,6
1134,Kent State,Mid-American,PUNT,"{'minutes': 3, 'seconds': 9}",2,"{'minutes': 9, 'seconds': 19}",39,401012288,40101228810,Ole Miss,SEC,6,False,2,"{'minutes': 12, 'seconds': 28}",25,14
1135,Ole Miss,SEC,PUNT,"{'minutes': 5, 'seconds': 7}",2,"{'minutes': 4, 'seconds': 12}",35,401012288,40101228811,Kent State,Mid-American,12,False,2,"{'minutes': 9, 'seconds': 19}",73,38
1136,Kent State,Mid-American,MISSED FG,"{'minutes': 3, 'seconds': 5}",2,"{'minutes': 1, 'seconds': 7}",79,401012288,40101228812,Ole Miss,SEC,8,False,2,"{'minutes': 4, 'seconds': 12}",8,71
1137,Ole Miss,SEC,END OF HALF,"{'minutes': 1, 'seconds': 7}",2,{},57,401012288,40101228813,Kent State,Mid-American,5,False,2,"{'minutes': 1, 'seconds': 7}",79,22
1138,Kent State,Mid-American,TD,"{'minutes': 1, 'seconds': 35}",3,"{'minutes': 13, 'seconds': 20}",100,401012288,40101228814,Ole Miss,SEC,5,True,3,"{'minutes': 14, 'seconds': 55}",24,76
1139,Ole Miss,SEC,FG,"{'minutes': 2, 'seconds': 30}",3,"{'minutes': 10, 'seconds': 50}",15,401012288,40101228815,Kent State,Mid-American,8,True,3,"{'minutes': 13, 'seconds': 20}",65,50
1140,Kent State,Mid-American,TD,{'seconds': 42},3,"{'minutes': 10, 'seconds': 8}",100,401012288,40101228816,Ole Miss,SEC,2,True,3,"{'minutes': 10, 'seconds': 50}",29,71
1141,Ole Miss,SEC,TD,"{'minutes': 3, 'seconds': 23}",3,"{'minutes': 6, 'seconds': 45}",0,401012288,40101228817,Kent State,Mid-American,11,True,3,"{'minutes': 10, 'seconds': 8}",53,53
1142,Kent State,Mid-American,INT,"{'minutes': 1, 'seconds': 46}",3,"{'minutes': 4, 'seconds': 59}",71,401012288,40101228818,Ole Miss,SEC,4,False,3,"{'minutes': 6, 'seconds': 45}",25,46
1143,Ole Miss,SEC,INT,{'seconds': 14},3,"{'minutes': 4, 'seconds': 45}",58,401012288,40101228819,Kent State,Mid-American,1,False,3,"{'minutes': 4, 'seconds': 59}",73,15
1144,Kent State,Mid-American,FG,"{'minutes': 4, 'seconds': 42}",3,{'seconds': 3},90,401012288,40101228820,Ole Miss,SEC,13,True,3,"{'minutes': 4, 'seconds': 45}",25,65
1145,Ole Miss,SEC,PUNT,{'seconds': 3},3,{},59,401012288,40101228821,Kent State,Mid-American,5,False,3,{'seconds': 3},75,16
1146,Kent State,Mid-American,TD,"{'minutes': 2, 'seconds': 40}",4,"{'minutes': 9, 'seconds': 55}",100,401012288,40101228822,Ole Miss,SEC,7,True,4,"{'minutes': 12, 'seconds': 35}",12,88
1147,Ole Miss,SEC,FUMBLE,{'seconds': 30},4,"{'minutes': 9, 'seconds': 25}",66,401012288,40101228823,Kent State,Mid-American,2,False,4,"{'minutes': 9, 'seconds': 55}",75,9
1148,Kent State,Mid-American,TD,"{'minutes': 2, 'seconds': 27}",4,"{'minutes': 6, 'seconds': 58}",100,401012288,40101228824,Ole Miss,SEC,5,True,4,"{'minutes': 9, 'seconds': 25}",66,34
