season,game_id,home_team,away_team,neutral_site,home_score,away_score,pred_home_score,pred_away_score,prob_winner,prob_spread,prob_total,total_error,spread_error,home_error,away_error
2012,323012579,South Carolina,Tennessee,False,38,35,42.5280,33.6500,0.5411,0.9455,0.9705,3.1780,5.8780,4.5280,1.3500
2012,323152579,South Carolina,Arkansas,False,38,20,31.4811,52.2061,0.3870,0.5916,0.7219,25.6871,38.7250,6.5189,32.2061
2012,323290228,Clemson,South Carolina,False,17,27,50.8104,39.6629,0.4466,0.7988,0.5754,46.4733,21.1475,33.8104,12.6629
2013,332412579,South Carolina,North Carolina,False,27,10,47.0290,37.4872,0.5479,0.9251,0.5493,47.5162,7.4582,20.0290,27.4872
2013,332500061,Georgia,South Carolina,False,41,30,29.8656,41.5289,0.4313,0.7366,0.9953,0.3944,22.6633,11.1344,11.5289
2013,332572579,South Carolina,Vanderbilt,False,35,25,41.6346,43.4224,0.4903,0.8731,0.7342,25.0570,11.7877,6.6346,18.4224
2013,332712116,UCF,South Carolina,False,25,28,50.0924,35.1980,0.4118,0.7889,0.6290,32.2904,17.8944,25.0924,7.1980
2013,332782579,South Carolina,Kentucky,False,35,28,38.5496,33.4048,0.5274,0.9802,0.9048,8.9543,1.8552,3.5496,5.4048
2013,332850008,Arkansas,South Carolina,False,7,52,29.8976,52.6030,0.6146,0.7749,0.7631,23.5006,22.2947,22.8976,0.6030
2013,332922633,Tennessee,South Carolina,False,23,21,13.6998,57.9444,0.2888,0.5606,0.7279,27.6442,46.2445,9.3002,36.9444
2013,332990142,Missouri,South Carolina,False,24,27,41.1678,43.0147,0.5107,0.9866,0.6287,33.1825,1.1532,17.1678,16.0147
2013,333062579,South Carolina,Mississippi State,False,34,16,53.3078,23.7252,0.6575,0.8738,0.7108,27.0330,11.5826,19.3078,7.7252
2013,333202579,South Carolina,Florida,False,19,14,45.9948,14.0669,0.6592,0.7293,0.7280,27.0617,26.9279,26.9948,0.0669
2013,333342579,South Carolina,Clemson,False,31,17,48.6383,49.1129,0.4978,0.8657,0.5612,49.7512,14.4747,17.6383,32.1129
2014,400548402,South Carolina,Texas A&M,False,28,52,23.1649,27.6634,0.5408,0.6571,0.5066,29.1717,19.5015,4.8351,24.3366
2014,400547650,South Carolina,East Carolina,False,33,23,17.8278,27.1190,0.4106,0.6390,0.7881,11.0532,19.2912,15.1722,4.1190
2014,400548392,South Carolina,Georgia,False,38,35,16.3161,29.2711,0.3800,0.7067,0.5180,27.4128,15.9549,21.6839,5.7289
2014,400548387,Vanderbilt,South Carolina,False,34,48,8.9471,18.6301,0.6065,0.9041,0.1290,54.4227,4.3170,25.0529,29.3699
